WinDefensePlayed1,WinPlayedMatchday1,WinAttackPlayed2,WinPlayedMatchday2,WinDefensePlayed3,WinPlayedMatchday3,WinAttackPlayed4,WinPlayedMatchday4,ELOAttackDefenseDifference,ELODefenseAttackDifference,WinsLocal,WinsVisitant
0.68,1.0,0.46153846153846156,1.0,0.38461538461538464,0.0,0.5476190476190477,0.0,66.02850581020743,28.018521299058193,0.6774193548387096,0.5106382978723404
0.6923076923076923,1.0,0.5581395348837209,1.0,0.5517241379310345,0.0,0.4444444444444444,0.0,33.67012817186935,59.179862196332124,0.6,0.5454545454545454
0.7037037037037037,1.0,0.5681818181818182,1.0,0.375,0.0,0.25,0.0,93.27687001207721,72.71760984289551,0.6,0.25
0.6785714285714286,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5666666666666667,0.5,0.6923076923076923,1.0,31.623860860864625,-59.00954876108426,0.6,0.5319148936170213
0.3902439024390244,0.5,0.4642857142857143,0.5,0.5483870967741935,0.3333333333333333,0.675,0.5,30.13577367045491,-168.21045399456648,0.59375,0.5319148936170213
0.40476190476190477,0.6666666666666666,0.4827586206896552,0.6666666666666666,0.3,0.5,0.2857142857142857,0.5,63.87426751555893,-39.44300439117853,0.59375,0.6
0.3953488372093023,0.5,0.4666666666666667,0.5,0.5625,0.5,0.6829268292682927,0.6666666666666666,12.563059914547125,-179.53973401957387,0.59375,0.5319148936170213
0.2727272727272727,0.0,0.45161290322580644,0.0,0.5,1.0,0.2857142857142857,1.0,34.68691548915285,-36.97708015820808,0.6057692307692307,0.47368421052631576
0.6896551724137931,1.0,0.6904761904761905,1.0,0.42857142857142855,0.5,0.25,0.5,138.98687473343978,70.60927665930922,0.7047619047619048,0.47368421052631576
0.6666666666666666,0.5,0.6744186046511628,0.5,0.6,0.5,0.5652173913043478,0.5,79.9146797710564,-0.7591831007675864,0.7047619047619048,0.6057692307692307
0.6451612903225806,0.3333333333333333,0.6590909090909091,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.574468085106383,0.6666666666666666,87.4673360423817,-0.7591831007675864,0.7047619047619048,0.6057692307692307
0.375,0.0,0.25,0.0,0.5757575757575758,1.0,0.6666666666666666,1.0,-32.32901241858292,-156.75966937065823,0.23076923076923078,0.5319148936170213
0.3333333333333333,0.0,0.0,0.0,0.5882352941176471,1.0,0.6739130434782609,1.0,-22.81721160672464,-166.59583176361184,0.25,0.5319148936170213
0.4090909090909091,0.5,0.3333333333333333,0.5,0.3,0.0,0.2,0.6666666666666666,21.06663444383969,-11.063220684406815,0.3157894736842105,0.2857142857142857
0.4,0.3333333333333333,0.3,0.3333333333333333,0.36363636363636365,0.25,0.6808510638297872,1.0,17.14304721614326,-194.26511553240243,0.3157894736842105,0.6190476190476191
0.625,0.25,0.1875,0.5,0.4166666666666667,0.4,0.6875,1.0,-9.934615597348397,-92.41066902793136,0.32075471698113206,0.6190476190476191
0.6363636363636364,0.4,0.23529411764705882,0.6,0.391304347826087,0.25,0.2,0.3333333333333333,17.824704486109795,57.39926253782539,0.32075471698113206,0.25
0.6176470588235294,0.0,0.2,0.0,0.3333333333333333,1.0,0.46875,1.0,37.919102354911274,18.47516122056038,0.23076923076923078,0.6057692307692307
0.5714285714285714,1.0,0.3333333333333333,0.5,0.3076923076923077,0.5,0.45454545454545453,0.5,30.8538754744593,-12.338686300276777,0.42857142857142855,0.6057692307692307
0.5333333333333333,0.5,0.2857142857142857,0.3333333333333333,0.6285714285714286,0.5,0.47058823529411764,0.6666666666666666,-79.3160533233488,-27.055845273155796,0.42857142857142855,0.6774193548387096
0.5,0.3333333333333333,0.5625,0.3333333333333333,0.6388888888888888,0.6666666666666666,0.4857142857142857,0.75,-15.01233856481349,-27.055845273155796,0.5470085470085471,0.6774193548387096
0.2857142857142857,0.25,0.25,0.25,0.6666666666666666,0.8,0.36363636363636365,0.75,-69.67142885506712,-49.62199569413383,0.1935483870967742,0.6774193548387096
0.3333333333333333,0.0,0.2222222222222222,0.0,0.5294117647058824,1.0,1.0,1.0,-71.77425976459313,-60.47150971901635,0.4,0.5
0.3829787234042553,0.0,0.21052631578947367,0.0,0.5555555555555556,1.0,1.0,1.0,-64.35607392294776,-85.07040759937854,0.25,0.5
